,Reviews
0,"Неплохой курс для начала изучения С/C++. Лектор обладает хорошей дикцией и приятно подает материал, а видеолекции продублированы текстом. Отдельный плюс в карму за оперативное реагирование на запросы учеников. Небольшой недостаток курса - отсутствие темы, посвященной стилистике и правилам хорошего тона при написании кода на С/C++. В целом хорошие впечатления от курса."
1,"клевый курс, освежил знания"
2,Очень позитивный и веселый преподаватель! интересно и непринужденно проходит обучение. СПАСИБО!)
3,Курс устарел так как за два года программы поменялись
4,балдежный курс
